ICDCMCode,DiagnosisDesc,TotalDiag
S49.80XA,"OTH INJURIES OF SHOULDER AND UPPER ARM, UNSP ARM, INIT",5
S49.81XA,"OTH INJURIES OF RIGHT SHOULDER AND UPPER ARM, INIT ENCNTR",234
S49.81XD,"OTH INJURIES OF RIGHT SHOULDER AND UPPER ARM, SUBS ENCNTR",3
S49.81XS,"OTH INJURIES OF RIGHT SHOULDER AND UPPER ARM, SEQUELA",2
S49.82XA,"OTH INJURIES OF LEFT SHOULDER AND UPPER ARM, INIT ENCNTR",223
S49.82XD,"OTH INJURIES OF LEFT SHOULDER AND UPPER ARM, SUBS ENCNTR",5
S49.82XS,"OTH INJURIES OF LEFT SHOULDER AND UPPER ARM, SEQUELA",1
S49.90XA,"UNSP INJURY OF SHOULDER AND UPPER ARM, UNSP ARM, INIT ENCNTR",177
S49.90XD,"UNSP INJURY OF SHOULDER AND UPPER ARM, UNSP ARM, SUBS ENCNTR",4
S49.90XS,"UNSP INJURY OF SHOULDER AND UPPER ARM, UNSP ARM, SEQUELA",1
S49.91XA,"UNSP INJURY OF RIGHT SHOULDER AND UPPER ARM, INIT ENCNTR",5612
S49.91XD,"UNSP INJURY OF RIGHT SHOULDER AND UPPER ARM, SUBS ENCNTR",63
S49.91XS,"UNSPECIFIED INJURY OF RIGHT SHOULDER AND UPPER ARM, SEQUELA",11
S49.92XA,"UNSP INJURY OF LEFT SHOULDER AND UPPER ARM, INIT ENCNTR",5106
S49.92XD,"UNSP INJURY OF LEFT SHOULDER AND UPPER ARM, SUBS ENCNTR",67
S49.92XS,"UNSPECIFIED INJURY OF LEFT SHOULDER AND UPPER ARM, SEQUELA",13
S50.00XA,"CONTUSION OF UNSPECIFIED ELBOW, INITIAL ENCOUNTER",130
S50.01XA,"CONTUSION OF RIGHT ELBOW, INITIAL ENCOUNTER",8490
S50.01XD,"CONTUSION OF RIGHT ELBOW, SUBSEQUENT ENCOUNTER",27
S50.01XS,"CONTUSION OF RIGHT ELBOW, SEQUELA",2
S50.02XA,"CONTUSION OF LEFT ELBOW, INITIAL ENCOUNTER",8747
S50.02XD,"CONTUSION OF LEFT ELBOW, SUBSEQUENT ENCOUNTER",30
S50.02XS,"CONTUSION OF LEFT ELBOW, SEQUELA",1
S50.10XA,"CONTUSION OF UNSPECIFIED FOREARM, INITIAL ENCOUNTER",103
S50.11XA,"CONTUSION OF RIGHT FOREARM, INITIAL ENCOUNTER",6077
S50.11XD,"CONTUSION OF RIGHT FOREARM, SUBSEQUENT ENCOUNTER",42
S50.11XS,"CONTUSION OF RIGHT FOREARM, SEQUELA",2
S50.12XA,"CONTUSION OF LEFT FOREARM, INITIAL ENCOUNTER",6224
S50.12XD,"CONTUSION OF LEFT FOREARM, SUBSEQUENT ENCOUNTER",41
S50.12XS,"CONTUSION OF LEFT FOREARM, SEQUELA",3
S50.311A,"ABRASION OF RIGHT ELBOW, INITIAL ENCOUNTER",9139
S50.311D,"ABRASION OF RIGHT ELBOW, SUBSEQUENT ENCOUNTER",45
S50.311S,"ABRASION OF RIGHT ELBOW, SEQUELA",2
S50.312A,"ABRASION OF LEFT ELBOW, INITIAL ENCOUNTER",9293
S50.312D,"ABRASION OF LEFT ELBOW, SUBSEQUENT ENCOUNTER",38
S50.312S,"ABRASION OF LEFT ELBOW, SEQUELA",4
S50.319A,"ABRASION OF UNSPECIFIED ELBOW, INITIAL ENCOUNTER",173
S50.319D,"ABRASION OF UNSPECIFIED ELBOW, SUBSEQUENT ENCOUNTER",2
S50.321A,"BLISTER (NONTHERMAL) OF RIGHT ELBOW, INITIAL ENCOUNTER",15
S50.321S,"BLISTER (NONTHERMAL) OF RIGHT ELBOW, SEQUELA",1
S50.322A,"BLISTER (NONTHERMAL) OF LEFT ELBOW, INITIAL ENCOUNTER",13
S50.341A,"EXTERNAL CONSTRICTION OF RIGHT ELBOW, INITIAL ENCOUNTER",1
S50.351A,"SUPERFICIAL FOREIGN BODY OF RIGHT ELBOW, INITIAL ENCOUNTER",24
S50.352A,"SUPERFICIAL FOREIGN BODY OF LEFT ELBOW, INITIAL ENCOUNTER",38
S50.352D,"SUPERFICIAL FOREIGN BODY OF LEFT ELBOW, SUBSEQUENT ENCOUNTER",1
S50.361A,"INSECT BITE (NONVENOMOUS) OF RIGHT ELBOW, INITIAL ENCOUNTER",308
S50.361D,"INSECT BITE (NONVENOMOUS) OF RIGHT ELBOW, SUBS ENCNTR",1
S50.362A,"INSECT BITE (NONVENOMOUS) OF LEFT ELBOW, INITIAL ENCOUNTER",317
S50.362D,"INSECT BITE (NONVENOMOUS) OF LEFT ELBOW, SUBS ENCNTR",2
S50.369A,"INSECT BITE (NONVENOMOUS) OF UNSPECIFIED ELBOW, INIT ENCNTR",10
S50.371A,"OTHER SUPERFICIAL BITE OF RIGHT ELBOW, INITIAL ENCOUNTER",33
S50.371D,"OTHER SUPERFICIAL BITE OF RIGHT ELBOW, SUBSEQUENT ENCOUNTER",2
S50.372A,"OTHER SUPERFICIAL BITE OF LEFT ELBOW, INITIAL ENCOUNTER",34
S50.811A,"ABRASION OF RIGHT FOREARM, INITIAL ENCOUNTER",7557
S50.811D,"ABRASION OF RIGHT FOREARM, SUBSEQUENT ENCOUNTER",63
S50.811S,"ABRASION OF RIGHT FOREARM, SEQUELA",4
S50.812A,"ABRASION OF LEFT FOREARM, INITIAL ENCOUNTER",8606
S50.812D,"ABRASION OF LEFT FOREARM, SUBSEQUENT ENCOUNTER",77
S50.812S,"ABRASION OF LEFT FOREARM, SEQUELA",2
S50.819A,"ABRASION OF UNSPECIFIED FOREARM, INITIAL ENCOUNTER",180
S50.819D,"ABRASION OF UNSPECIFIED FOREARM, SUBSEQUENT ENCOUNTER",2
S50.821A,"BLISTER (NONTHERMAL) OF RIGHT FOREARM, INITIAL ENCOUNTER",44
S50.821D,"BLISTER (NONTHERMAL) OF RIGHT FOREARM, SUBSEQUENT ENCOUNTER",2
S50.822A,"BLISTER (NONTHERMAL) OF LEFT FOREARM, INITIAL ENCOUNTER",56
S50.822D,"BLISTER (NONTHERMAL) OF LEFT FOREARM, SUBSEQUENT ENCOUNTER",2
S50.829A,"BLISTER (NONTHERMAL) OF UNSPECIFIED FOREARM, INIT ENCNTR",1
S50.841A,"EXTERNAL CONSTRICTION OF RIGHT FOREARM, INITIAL ENCOUNTER",1
S50.851A,"SUPERFICIAL FOREIGN BODY OF RIGHT FOREARM, INITIAL ENCOUNTER",175
S50.851D,"SUPERFICIAL FOREIGN BODY OF RIGHT FOREARM, SUBS ENCNTR",3
S50.852A,"SUPERFICIAL FOREIGN BODY OF LEFT FOREARM, INITIAL ENCOUNTER",170
S50.852D,"SUPERFICIAL FOREIGN BODY OF LEFT FOREARM, SUBS ENCNTR",2
S50.859A,"SUPERFICIAL FOREIGN BODY OF UNSPECIFIED FOREARM, INIT ENCNTR",4
S50.861A,"INSECT BITE (NONVENOMOUS) OF RIGHT FOREARM, INIT ENCNTR",1446
S50.861D,"INSECT BITE (NONVENOMOUS) OF RIGHT FOREARM, SUBS ENCNTR",11
S50.861S,"INSECT BITE (NONVENOMOUS) OF RIGHT FOREARM, SEQUELA",1
S50.862A,"INSECT BITE (NONVENOMOUS) OF LEFT FOREARM, INITIAL ENCOUNTER",1432
S50.862D,"INSECT BITE (NONVENOMOUS) OF LEFT FOREARM, SUBS ENCNTR",11
S50.862S,"INSECT BITE (NONVENOMOUS) OF LEFT FOREARM, SEQUELA",2
S50.869A,"INSECT BITE (NONVENOMOUS) OF UNSP FOREARM, INIT ENCNTR",37
S50.871A,"OTHER SUPERFICIAL BITE OF RIGHT FOREARM, INITIAL ENCOUNTER",371
S50.871D,"OTHER SUPERFICIAL BITE OF RIGHT FOREARM, SUBS ENCNTR",11
S50.871S,"OTHER SUPERFICIAL BITE OF RIGHT FOREARM, SEQUELA",1
S50.872A,"OTHER SUPERFICIAL BITE OF LEFT FOREARM, INITIAL ENCOUNTER",322
S50.872D,"OTHER SUPERFICIAL BITE OF LEFT FOREARM, SUBSEQUENT ENCOUNTER",9
S50.872S,"OTHER SUPERFICIAL BITE OF LEFT FOREARM, SEQUELA",1
S50.901A,"UNSPECIFIED SUPERFICIAL INJURY OF RIGHT ELBOW, INIT ENCNTR",28
S50.901D,"UNSPECIFIED SUPERFICIAL INJURY OF RIGHT ELBOW, SUBS ENCNTR",3
S50.902A,"UNSPECIFIED SUPERFICIAL INJURY OF LEFT ELBOW, INIT ENCNTR",36
S50.902D,"UNSPECIFIED SUPERFICIAL INJURY OF LEFT ELBOW, SUBS ENCNTR",1
S50.911A,"UNSPECIFIED SUPERFICIAL INJURY OF RIGHT FOREARM, INIT ENCNTR",82
S50.911D,"UNSPECIFIED SUPERFICIAL INJURY OF RIGHT FOREARM, SUBS ENCNTR",7
S50.912A,"UNSPECIFIED SUPERFICIAL INJURY OF LEFT FOREARM, INIT ENCNTR",127
S50.912D,"UNSPECIFIED SUPERFICIAL INJURY OF LEFT FOREARM, SUBS ENCNTR",9
S50.919A,"UNSP SUPERFICIAL INJURY OF UNSPECIFIED FOREARM, INIT ENCNTR",1
S51.001A,"UNSPECIFIED OPEN WOUND OF RIGHT ELBOW, INITIAL ENCOUNTER",285
S51.001D,"UNSPECIFIED OPEN WOUND OF RIGHT ELBOW, SUBSEQUENT ENCOUNTER",43
S51.001S,"UNSPECIFIED OPEN WOUND OF RIGHT ELBOW, SEQUELA",2
S51.002A,"UNSPECIFIED OPEN WOUND OF LEFT ELBOW, INITIAL ENCOUNTER",316
S51.002D,"UNSPECIFIED OPEN WOUND OF LEFT ELBOW, SUBSEQUENT ENCOUNTER",43
S51.002S,"UNSPECIFIED OPEN WOUND OF LEFT ELBOW, SEQUELA",2
S51.009A,"UNSPECIFIED OPEN WOUND OF UNSPECIFIED ELBOW, INIT ENCNTR",13
S51.011A,"LACERATION WITHOUT FOREIGN BODY OF RIGHT ELBOW, INIT ENCNTR",4525
S51.011D,"LACERATION WITHOUT FOREIGN BODY OF RIGHT ELBOW, SUBS ENCNTR",232
S51.011S,"LACERATION WITHOUT FOREIGN BODY OF RIGHT ELBOW, SEQUELA",4
S51.012A,"LACERATION WITHOUT FOREIGN BODY OF LEFT ELBOW, INIT ENCNTR",5041
S51.012D,"LACERATION WITHOUT FOREIGN BODY OF LEFT ELBOW, SUBS ENCNTR",251
S51.012S,"LACERATION WITHOUT FOREIGN BODY OF LEFT ELBOW, SEQUELA",5
S51.019A,"LACERATION WITHOUT FOREIGN BODY OF UNSP ELBOW, INIT ENCNTR",36
S51.019D,"LACERATION WITHOUT FOREIGN BODY OF UNSP ELBOW, SUBS ENCNTR",4
S51.021A,"LACERATION WITH FOREIGN BODY OF RIGHT ELBOW, INIT ENCNTR",49
S51.021D,"LACERATION WITH FOREIGN BODY OF RIGHT ELBOW, SUBS ENCNTR",3
S51.022A,"LACERATION WITH FOREIGN BODY OF LEFT ELBOW, INIT ENCNTR",68
S51.022D,"LACERATION WITH FOREIGN BODY OF LEFT ELBOW, SUBS ENCNTR",4
S51.031A,"PUNCTURE WOUND W/O FOREIGN BODY OF RIGHT ELBOW, INIT ENCNTR",124
S51.031D,"PUNCTURE WOUND W/O FOREIGN BODY OF RIGHT ELBOW, SUBS ENCNTR",9
S51.032A,"PUNCTURE WOUND W/O FOREIGN BODY OF LEFT ELBOW, INIT ENCNTR",124
S51.032D,"PUNCTURE WOUND W/O FOREIGN BODY OF LEFT ELBOW, SUBS ENCNTR",4
S51.032S,"PUNCTURE WOUND WITHOUT FOREIGN BODY OF LEFT ELBOW, SEQUELA",1
S51.039D,"PUNCTURE WOUND W/O FOREIGN BODY OF UNSP ELBOW, SUBS ENCNTR",1
S51.041A,"PUNCTURE WOUND WITH FOREIGN BODY OF RIGHT ELBOW, INIT ENCNTR",19
S51.041D,"PUNCTURE WOUND WITH FOREIGN BODY OF RIGHT ELBOW, SUBS ENCNTR",1
S51.042A,"PUNCTURE WOUND WITH FOREIGN BODY OF LEFT ELBOW, INIT ENCNTR",18
S51.042D,"PUNCTURE WOUND WITH FOREIGN BODY OF LEFT ELBOW, SUBS ENCNTR",1
S51.051A,"OPEN BITE, RIGHT ELBOW, INITIAL ENCOUNTER",238
S51.051D,"OPEN BITE, RIGHT ELBOW, SUBSEQUENT ENCOUNTER",27
S51.051S,"OPEN BITE, RIGHT ELBOW, SEQUELA",1
S51.052A,"OPEN BITE, LEFT ELBOW, INITIAL ENCOUNTER",231
S51.052D,"OPEN BITE, LEFT ELBOW, SUBSEQUENT ENCOUNTER",19
S51.059D,"OPEN BITE, UNSPECIFIED ELBOW, SUBSEQUENT ENCOUNTER",2
S51.801A,"UNSPECIFIED OPEN WOUND OF RIGHT FOREARM, INITIAL ENCOUNTER",647
S51.801D,"UNSPECIFIED OPEN WOUND OF RIGHT FOREARM, SUBS ENCNTR",101
S51.801S,"UNSPECIFIED OPEN WOUND OF RIGHT FOREARM, SEQUELA",3
S51.802A,"UNSPECIFIED OPEN WOUND OF LEFT FOREARM, INITIAL ENCOUNTER",753
S51.802D,"UNSPECIFIED OPEN WOUND OF LEFT FOREARM, SUBSEQUENT ENCOUNTER",103
S51.802S,"UNSPECIFIED OPEN WOUND OF LEFT FOREARM, SEQUELA",6
S51.809A,"UNSPECIFIED OPEN WOUND OF UNSPECIFIED FOREARM, INIT ENCNTR",7
S51.811A,"LACERATION W/O FOREIGN BODY OF RIGHT FOREARM, INIT ENCNTR",10470
S51.811D,"LACERATION W/O FOREIGN BODY OF RIGHT FOREARM, SUBS ENCNTR",1016
S51.811S,"LACERATION WITHOUT FOREIGN BODY OF RIGHT FOREARM, SEQUELA",13
S51.812A,"LACERATION WITHOUT FOREIGN BODY OF LEFT FOREARM, INIT ENCNTR",13758
S51.812D,"LACERATION WITHOUT FOREIGN BODY OF LEFT FOREARM, SUBS ENCNTR",1182
S51.812S,"LACERATION WITHOUT FOREIGN BODY OF LEFT FOREARM, SEQUELA",19
S51.819A,"LACERATION WITHOUT FOREIGN BODY OF UNSP FOREARM, INIT ENCNTR",102
S51.819D,"LACERATION WITHOUT FOREIGN BODY OF UNSP FOREARM, SUBS ENCNTR",18
S51.819S,"LACERATION WITHOUT FOREIGN BODY OF UNSP FOREARM, SEQUELA",2
S51.821A,"LACERATION WITH FOREIGN BODY OF RIGHT FOREARM, INIT ENCNTR",150
S51.821D,"LACERATION WITH FOREIGN BODY OF RIGHT FOREARM, SUBS ENCNTR",16
S51.821S,"LACERATION WITH FOREIGN BODY OF RIGHT FOREARM, SEQUELA",2
S51.822A,"LACERATION WITH FOREIGN BODY OF LEFT FOREARM, INIT ENCNTR",173
S51.822D,"LACERATION WITH FOREIGN BODY OF LEFT FOREARM, SUBS ENCNTR",14
S51.822S,"LACERATION WITH FOREIGN BODY OF LEFT FOREARM, SEQUELA",1
S51.831A,"PUNCTURE WOUND W/O FOREIGN BODY OF RIGHT FOREARM, INIT",1052
S51.831D,"PUNCTURE WOUND W/O FOREIGN BODY OF RIGHT FOREARM, SUBS",53
S51.831S,"PUNCTURE WOUND W/O FOREIGN BODY OF RIGHT FOREARM, SEQUELA",1
S51.832A,"PUNCTURE WOUND W/O FOREIGN BODY OF LEFT FOREARM, INIT ENCNTR",975
S51.832D,"PUNCTURE WOUND W/O FOREIGN BODY OF LEFT FOREARM, SUBS ENCNTR",43
S51.832S,"PUNCTURE WOUND WITHOUT FOREIGN BODY OF LEFT FOREARM, SEQUELA",1
S51.839A,"PUNCTURE WOUND W/O FOREIGN BODY OF UNSP FOREARM, INIT ENCNTR",3
S51.839D,"PUNCTURE WOUND W/O FOREIGN BODY OF UNSP FOREARM, SUBS ENCNTR",2
S51.841A,"PUNCTURE WOUND W FOREIGN BODY OF RIGHT FOREARM, INIT ENCNTR",89
S51.841D,"PUNCTURE WOUND W FOREIGN BODY OF RIGHT FOREARM, SUBS ENCNTR",1
S51.841S,"PUNCTURE WOUND WITH FOREIGN BODY OF RIGHT FOREARM, SEQUELA",1
S51.842A,"PUNCTURE WOUND W FOREIGN BODY OF LEFT FOREARM, INIT ENCNTR",106
S51.842D,"PUNCTURE WOUND W FOREIGN BODY OF LEFT FOREARM, SUBS ENCNTR",5
S51.842S,"PUNCTURE WOUND WITH FOREIGN BODY OF LEFT FOREARM, SEQUELA",1
S51.849D,"PUNCTURE WOUND W FOREIGN BODY OF UNSP FOREARM, SUBS ENCNTR",1
S51.851A,"OPEN BITE OF RIGHT FOREARM, INITIAL ENCOUNTER",3512
S51.851D,"OPEN BITE OF RIGHT FOREARM, SUBSEQUENT ENCOUNTER",300
S51.851S,"OPEN BITE OF RIGHT FOREARM, SEQUELA",13
S51.852A,"OPEN BITE OF LEFT FOREARM, INITIAL ENCOUNTER",2982
S51.852D,"OPEN BITE OF LEFT FOREARM, SUBSEQUENT ENCOUNTER",225
S51.852S,"OPEN BITE OF LEFT FOREARM, SEQUELA",9
S51.859A,"OPEN BITE OF UNSPECIFIED FOREARM, INITIAL ENCOUNTER",33
S51.859D,"OPEN BITE OF UNSPECIFIED FOREARM, SUBSEQUENT ENCOUNTER",8
S52.001A,"UNSP FRACTURE OF UPPER END OF RIGHT ULNA, INIT FOR CLOS FX",383
S52.001B,"UNSP FX UPPER END OF RIGHT ULNA, INIT FOR OPN FX TYPE I/2",7
S52.001C,"UNSP FX UPPER END OF RIGHT ULNA, INIT FOR OPN FX TYPE 3A/B/C",1
S52.001D,"UNSP FX UPPER END OF R ULNA, SUBS FOR CLOS FX W ROUTN HEAL",19
S52.001E,"UNSP FX UPR END R ULNA, 7THE",1
S52.001G,"UNSP FX UPPER END OF R ULNA, SUBS FOR CLOS FX W DELAY HEAL",1
S52.001S,"UNSPECIFIED FRACTURE OF UPPER END OF RIGHT ULNA, SEQUELA",1
S52.002A,"UNSP FRACTURE OF UPPER END OF LEFT ULNA, INIT FOR CLOS FX",444
S52.002B,"UNSP FX UPPER END OF LEFT ULNA, INIT FOR OPN FX TYPE I/2",13
S52.002D,"UNSP FX UPPER END OF L ULNA, SUBS FOR CLOS FX W ROUTN HEAL",36
S52.002E,"UNSP FX UPR END L ULNA, 7THE",1
S52.002K,"UNSP FX UPPER END OF LEFT ULNA, SUBS FOR CLOS FX W NONUNION",3
S52.002P,"UNSP FX UPPER END OF LEFT ULNA, SUBS FOR CLOS FX W MALUNION",1
S52.002S,"UNSPECIFIED FRACTURE OF UPPER END OF LEFT ULNA, SEQUELA",2
S52.009A,"UNSP FRACTURE OF UPPER END OF UNSP ULNA, INIT FOR CLOS FX",7
S52.009B,"UNSP FX UPPER END OF UNSP ULNA, INIT FOR OPN FX TYPE I/2",1
S52.009D,"UNSP FX UPPER END UNSP ULNA, SUBS FOR CLOS FX W ROUTN HEAL",1
S52.011A,"TORUS FRACTURE OF UPPER END OF RIGHT ULNA, INIT FOR CLOS FX",12
S52.012A,"TORUS FRACTURE OF UPPER END OF LEFT ULNA, INIT FOR CLOS FX",20
S52.012D,"TORUS FX UPPER END OF LEFT ULNA, SUBS FOR FX W ROUTN HEAL",2
S52.019A,"TORUS FRACTURE OF UPPER END OF UNSP ULNA, INIT FOR CLOS FX",1
S52.021A,"DISP FX OF OLECRAN PRO W/O INTARTIC EXTN RIGHT ULNA, INIT",954
S52.021B,"DISP FX OF OLECRAN PRO W/O INTARTIC EXTN R ULNA, 7THB",23
S52.021D,"DISP FX OF OLECRAN PRO W/O INTARTIC EXTN R ULNA, 7THD",55
S52.021E,"DISP FX OF OLECRAN PRO W/O INTARTIC EXTN R ULNA, 7THE",2
S52.021G,"DISP FX OF OLECRAN PRO W/O INTARTIC EXTN R ULNA, 7THG",4
S52.021K,"DISP FX OF OLECRAN PRO W/O INTARTIC EXTN R ULNA, 7THK",5
S52.021S,"DISP FX OF OLECRAN PRO W/O INTARTIC EXTN RIGHT ULNA, SEQUELA",5
S52.022A,"DISP FX OF OLECRAN PRO W/O INTARTIC EXTN LEFT ULNA, INIT",1102
S52.022B,"DISP FX OF OLECRAN PRO W/O INTARTIC EXTN L ULNA, 7THB",28
S52.022D,"DISP FX OF OLECRAN PRO W/O INTARTIC EXTN L ULNA, 7THD",85
S52.022E,"DISP FX OF OLECRAN PRO W/O INTARTIC EXTN L ULNA, 7THE",1
S52.022G,"DISP FX OF OLECRAN PRO W/O INTARTIC EXTN L ULNA, 7THG",4
S52.022K,"DISP FX OF OLECRAN PRO W/O INTARTIC EXTN L ULNA, 7THK",6
S52.022P,"DISP FX OF OLECRAN PRO W/O INTARTIC EXTN L ULNA, 7THP",2
S52.022S,"DISP FX OF OLECRAN PRO W/O INTARTIC EXTN LEFT ULNA, SEQUELA",7
S52.023A,"DISP FX OF OLECRAN PRO W/O INTARTIC EXTN UNSP ULNA, INIT",20
S52.023D,"DISP FX OF OLECRAN PRO W/O INTARTIC EXTN UNSP ULNA, 7THD",1
S52.024A,"NONDISP FX OF OLECRAN PRO W/O INTARTIC EXTN RIGHT ULNA, INIT",194
S52.024D,"NONDISP FX OF OLECRAN PRO W/O INTARTIC EXTN R ULNA, 7THD",8
S52.025A,"NONDISP FX OF OLECRAN PRO W/O INTARTIC EXTN LEFT ULNA, INIT",190
S52.025B,"NONDISP FX OF OLECRAN PRO W/O INTARTIC EXTN L ULNA, 7THB",3
S52.025D,"NONDISP FX OF OLECRAN PRO W/O INTARTIC EXTN L ULNA, 7THD",18
S52.026A,"NONDISP FX OF OLECRAN PRO W/O INTARTIC EXTN UNSP ULNA, INIT",1
S52.031A,"DISP FX OF OLECRAN PRO W INTARTIC EXTN RIGHT ULNA, INIT",165
S52.031B,"DISP FX OF OLECRAN PRO W INTARTIC EXTN R ULNA, 7THB",7
S52.031D,"DISP FX OF OLECRAN PRO W INTARTIC EXTN R ULNA, 7THD",9
S52.031G,"DISP FX OF OLECRAN PRO W INTARTIC EXTN R ULNA, 7THG",1
S52.031K,"DISP FX OF OLECRAN PRO W INTARTIC EXTN R ULNA, 7THK",1
S52.032A,"DISP FX OF OLECRAN PRO W INTARTIC EXTN LEFT ULNA, INIT",176
S52.032B,"DISP FX OF OLECRAN PRO W INTARTIC EXTN L ULNA, 7THB",7
S52.032C,"DISP FX OF OLECRAN PRO W INTARTIC EXTN L ULNA, 7THC",1
S52.032D,"DISP FX OF OLECRAN PRO W INTARTIC EXTN L ULNA, 7THD",7
S52.032E,"DISP FX OF OLECRAN PRO W INTARTIC EXTN L ULNA, 7THE",1
S52.032G,"DISP FX OF OLECRAN PRO W INTARTIC EXTN L ULNA, 7THG",2
S52.032K,"DISP FX OF OLECRAN PRO W INTARTIC EXTN L ULNA, 7THK",1
S52.032S,"DISP FX OF OLECRAN PRO W INTARTIC EXTN LEFT ULNA, SEQUELA",2
S52.034A,"NONDISP FX OF OLECRAN PRO W INTARTIC EXTN RIGHT ULNA, INIT",25
S52.034B,"NONDISP FX OF OLECRAN PRO W INTARTIC EXTN R ULNA, 7THB",1
S52.035A,"NONDISP FX OF OLECRAN PRO W INTARTIC EXTN LEFT ULNA, INIT",37
S52.035B,"NONDISP FX OF OLECRAN PRO W INTARTIC EXTN L ULNA, 7THB",1
S52.035D,"NONDISP FX OF OLECRAN PRO W INTARTIC EXTN L ULNA, 7THD",2
S52.036A,"NONDISP FX OF OLECRAN PRO W INTARTIC EXTN UNSP ULNA, INIT",1
S52.041A,"DISP FX OF CORONOID PROCESS OF RIGHT ULNA, INIT FOR CLOS FX",220
S52.041D,"DISP FX OF CORONOID PRO OF R ULNA, 7THD",6
S52.042A,"DISP FX OF CORONOID PROCESS OF LEFT ULNA, INIT FOR CLOS FX",264
S52.042B,"DISP FX OF CORONOID PRO OF L ULNA, INIT FOR OPN FX TYPE I/2",4
S52.042D,"DISP FX OF CORONOID PRO OF L ULNA, 7THD",10
S52.042K,"DISP FX OF CORONOID PRO OF L ULNA, 7THK",1
S52.043A,"DISP FX OF CORONOID PROCESS OF UNSP ULNA, INIT FOR CLOS FX",3
S52.044A,"NONDISP FX OF CORONOID PROCESS OF RIGHT ULNA, INIT",81
S52.044B,"NONDISP FX OF CORONOID PRO OF R ULNA, 7THB",1
S52.044D,"NONDISP FX OF CORONOID PRO OF R ULNA, 7THD",8
S52.045A,"NONDISP FX OF CORONOID PROCESS OF LEFT ULNA, INIT",102
S52.045C,"NONDISP FX OF CORONOID PRO OF L ULNA, 7THC",2
S52.045D,"NONDISP FX OF CORONOID PRO OF L ULNA, 7THD",1
S52.091A,"OTH FRACTURE OF UPPER END OF RIGHT ULNA, INIT FOR CLOS FX",110
S52.091B,"OTH FX UPPER END OF RIGHT ULNA, INIT FOR OPN FX TYPE I/2",3
S52.091D,"OTH FX UPPER END OF R ULNA, SUBS FOR CLOS FX W ROUTN HEAL",6
S52.092A,"OTH FRACTURE OF UPPER END OF LEFT ULNA, INIT FOR CLOS FX",116
S52.092B,"OTH FX UPPER END OF LEFT ULNA, INIT FOR OPN FX TYPE I/2",4
S52.092D,"OTH FX UPPER END OF LEFT ULNA, SUBS FOR CLOS FX W ROUTN HEAL",5
S52.092E,"OTH FX UPR END L ULNA, SUBS FOR OPN FX TYPE I/2 W ROUTN HEAL",1
S52.099B,"OTH FX UPPER END OF UNSP ULNA, INIT FOR OPN FX TYPE I/2",1
S52.101A,"UNSP FRACTURE OF UPPER END OF RIGHT RADIUS, INIT FOR CLOS FX",303
S52.101B,"UNSP FX UPPER END OF R RADIUS, INIT FOR OPN FX TYPE I/2",3
S52.101D,"UNSP FX UPPER END OF R RADIUS, SUBS FOR CLOS FX W ROUTN HEAL",19
S52.101E,"UNSP FX UPR END R RAD, SUBS FOR OPN FX TYPE I/2 W ROUTN HEAL",1
S52.101K,"UNSP FX UPPER END OF R RADIUS, SUBS FOR CLOS FX W NONUNION",1
S52.101P,"UNSP FX UPPER END OF R RADIUS, SUBS FOR CLOS FX W MALUNION",1
S52.102A,"UNSP FRACTURE OF UPPER END OF LEFT RADIUS, INIT FOR CLOS FX",327
S52.102B,"UNSP FX UPPER END OF LEFT RADIUS, INIT FOR OPN FX TYPE I/2",7
S52.102D,"UNSP FX UPPER END LEFT RADIUS, SUBS FOR CLOS FX W ROUTN HEAL",21
S52.102E,"UNSP FX UPR END L RAD, SUBS FOR OPN FX TYPE I/2 W ROUTN HEAL",1
S52.102S,"UNSPECIFIED FRACTURE OF UPPER END OF LEFT RADIUS, SEQUELA",3
S52.109A,"UNSP FRACTURE OF UPPER END OF UNSP RADIUS, INIT FOR CLOS FX",10
S52.111A,"TORUS FRACTURE OF UPPER END OF RIGHT RADIUS, INIT",29
S52.111D,"TORUS FX UPPER END OF R RADIUS, SUBS FOR FX W ROUTN HEAL",1
S52.112A,"TORUS FRACTURE OF UPPER END OF LEFT RADIUS, INIT FOR CLOS FX",55
S52.112D,"TORUS FX UPPER END OF LEFT RADIUS, SUBS FOR FX W ROUTN HEAL",5
S52.121A,"DISP FX OF HEAD OF RIGHT RADIUS, INIT FOR CLOS FX",1987
S52.121B,"DISP FX OF HEAD OF RIGHT RADIUS, INIT FOR OPN FX TYPE I/2",9
S52.121D,"DISP FX OF HEAD OF R RADIUS, SUBS FOR CLOS FX W ROUTN HEAL",74
S52.121G,"DISP FX OF HEAD OF R RADIUS, SUBS FOR CLOS FX W DELAY HEAL",4
S52.121S,"DISPLACED FRACTURE OF HEAD OF RIGHT RADIUS, SEQUELA",4
S52.122A,"DISP FX OF HEAD OF LEFT RADIUS, INIT FOR CLOS FX",2078
S52.122B,"DISP FX OF HEAD OF LEFT RADIUS, INIT FOR OPN FX TYPE I/2",2
S52.122D,"DISP FX OF HEAD OF LEFT RAD, SUBS FOR CLOS FX W ROUTN HEAL",76
S52.122G,"DISP FX OF HEAD OF LEFT RAD, SUBS FOR CLOS FX W DELAY HEAL",5
S52.122S,"DISPLACED FRACTURE OF HEAD OF LEFT RADIUS, SEQUELA",2
