ICDCMCode,ExtCauseDesc,TotalEcm
W10.9XXS,"FALL (ON) (FROM) UNSPECIFIED STAIRS AND STEPS, SEQUELA",25
W11.XXXA,"FALL ON AND FROM LADDER, INITIAL ENCOUNTER",15290
W11.XXXD,"FALL ON AND FROM LADDER, SUBSEQUENT ENCOUNTER",301
W11.XXXS,"FALL ON AND FROM LADDER, SEQUELA",22
W12.XXXA,"FALL ON AND FROM SCAFFOLDING, INITIAL ENCOUNTER",291
W12.XXXD,"FALL ON AND FROM SCAFFOLDING, SUBSEQUENT ENCOUNTER",10
W12.XXXS,"FALL ON AND FROM SCAFFOLDING, SEQUELA",1
W13.0XXA,"FALL FROM, OUT OF OR THROUGH BALCONY, INITIAL ENCOUNTER",269
W13.0XXD,"FALL FROM, OUT OF OR THROUGH BALCONY, SUBSEQUENT ENCOUNTER",9
W13.0XXS,"FALL FROM, OUT OF OR THROUGH BALCONY, SEQUELA",2
W13.1XXA,"FALL FROM, OUT OF OR THROUGH BRIDGE, INITIAL ENCOUNTER",56
W13.1XXD,"FALL FROM, OUT OF OR THROUGH BRIDGE, SUBSEQUENT ENCOUNTER",3
W13.2XXA,"FALL FROM, OUT OF OR THROUGH ROOF, INITIAL ENCOUNTER",1688
W13.2XXD,"FALL FROM, OUT OF OR THROUGH ROOF, SUBSEQUENT ENCOUNTER",60
W13.2XXS,"FALL FROM, OUT OF OR THROUGH ROOF, SEQUELA",8
W13.3XXA,"FALL THROUGH FLOOR, INITIAL ENCOUNTER",349
W13.3XXD,"FALL THROUGH FLOOR, SUBSEQUENT ENCOUNTER",4
W13.4XXA,"FALL FROM, OUT OF OR THROUGH WINDOW, INITIAL ENCOUNTER",499
W13.4XXD,"FALL FROM, OUT OF OR THROUGH WINDOW, SUBSEQUENT ENCOUNTER",17
W13.8XXA,"FALL FROM, OUT OF OR THROUGH OTH BUILDING OR STRUCTURE, INIT",759
W13.8XXD,"FALL FROM, OUT OF OR THROUGH OTH BUILDING OR STRUCTURE, SUBS",17
W13.9XXA,"FALL FROM, OUT OF OR THROUGH BLDG, NOT OTHERWISE SPCF, INIT",86
W13.9XXD,"FALL FROM, OUT OF OR THROUGH BLDG, NOT OTHERWISE SPCF, SUBS",7
W13.9XXS,"FALL FROM, OUT OF OR THROUGH BLDG, NOT OTHERWISE SPCF, SQLA",1
W14.XXXA,"FALL FROM TREE, INITIAL ENCOUNTER",1284
W14.XXXD,"FALL FROM TREE, SUBSEQUENT ENCOUNTER",30
W14.XXXS,"FALL FROM TREE, SEQUELA",3
W15.XXXA,"FALL FROM CLIFF, INITIAL ENCOUNTER",119
W15.XXXD,"FALL FROM CLIFF, SUBSEQUENT ENCOUNTER",3
W16.011A,"FALL INTO SWIMMING POOL STRIKING SURFC CAUSING DROWN, INIT",80
W16.012A,"FALL INTO SWIMMING POOL STRK SURFC CAUSING OTH INJURY, INIT",251
W16.012D,"FALL INTO SWIMMING POOL STRK SURFC CAUSING OTH INJURY, SUBS",5
W16.012S,"FALL INTO SWIM POOL STRK SURFC CAUSING OTH INJURY, SEQUELA",1
W16.021A,"FALL INTO SWIMMING POOL STRIKING BOTTOM CAUSING DROWN, INIT",5
W16.022A,"FALL INTO SWIMMING POOL STRK BOTTOM CAUSING OTH INJURY, INIT",142
W16.022D,"FALL INTO SWIMMING POOL STRK BOTTOM CAUSING OTH INJURY, SUBS",1
W16.031A,"FALL INTO SWIMMING POOL STRIKING WALL CAUSING DROWN, INIT",4
W16.032A,"FALL INTO SWIMMING POOL STRK WALL CAUSING OTH INJURY, INIT",93
W16.111A,"FALL INTO NATURAL BODY OF WATER STRK SURFC CAUSE DROWN, INIT",17
W16.112A,"FALL INTO NATRL BODY OF WATER STRK SURFC CAUSE OTH INJ, INIT",139
W16.112D,"FALL INTO NATRL BODY OF WATER STRK SURFC CAUSE OTH INJ, SUBS",1
W16.121A,"FALL INTO NATRL BODY OF WATER STRK BOTTOM CAUSE DROWN, INIT",3
W16.122A,"FALL INTO NATRL BODY OF WATER STRK BOTM CAUSE OTH INJ, INIT",56
W16.122D,"FALL INTO NATRL BODY OF WATER STRK BOTM CAUSE OTH INJ, SUBS",1
W16.131A,"FALL INTO NATURAL BODY OF WATER STRK SIDE CAUSE DROWN, INIT",1
W16.132A,"FALL INTO NATRL BODY OF WATER STRK SIDE CAUSE OTH INJ, INIT",19
W16.132D,"FALL INTO NATRL BODY OF WATER STRK SIDE CAUSE OTH INJ, SUBS",1
W16.211A,"FALL IN (INTO) FILLED BATHTUB CAUSING DROWN, INIT",9
W16.212A,"FALL IN (INTO) FILLED BATHTUB CAUSING OTH INJURY, INIT",124
W16.212D,"FALL IN (INTO) FILLED BATHTUB CAUSING OTH INJURY, SUBS",1
W16.222A,"FALL IN (INTO) BUCKET OF WATER CAUSING OTH INJURY, INIT",1
W16.311A,"FALL INTO OTH WATER STRIKING SURFC CAUSING DROWN, INIT",3
W16.312A,"FALL INTO OTH WATER STRIKING SURFC CAUSING OTH INJURY, INIT",37
W16.312D,"FALL INTO OTH WATER STRIKING SURFC CAUSING OTH INJURY, SUBS",1
W16.322A,"FALL INTO OTH WATER STRIKING BOTTOM CAUSING OTH INJURY, INIT",13
W16.322D,"FALL INTO OTH WATER STRIKING BOTTOM CAUSING OTH INJURY, SUBS",1
W16.332A,"FALL INTO OTH WATER STRIKING WALL CAUSING OTH INJURY, INIT",7
W16.41XA,"FALL INTO UNSP WATER CAUSING DROWNING AND SUBMERSION, INIT",3
W16.42XA,"FALL INTO UNSP WATER CAUSING OTHER INJURY, INIT ENCNTR",188
W16.42XD,"FALL INTO UNSP WATER CAUSING OTHER INJURY, SUBS ENCNTR",2
W16.42XS,"FALL INTO UNSPECIFIED WATER CAUSING OTHER INJURY, SEQUELA",2
W16.511A,"JUMP/DIV INTO SWIMMING POOL STRK SURFC CAUSING DROWN, INIT",15
W16.512A,"JUMP/DIV INTO SWIM POOL STRK SURFC CAUSING OTH INJURY, INIT",120
W16.512D,"JUMP/DIV INTO SWIM POOL STRK SURFC CAUSING OTH INJURY, SUBS",3
W16.521A,"JUMP/DIV INTO SWIMMING POOL STRK BOTTOM CAUSING DROWN, INIT",3
W16.522A,"JUMP/DIV INTO SWIM POOL STRK BOTTOM CAUSING OTH INJURY, INIT",289
W16.522D,"JUMP/DIV INTO SWIM POOL STRK BOTTOM CAUSING OTH INJURY, SUBS",2
W16.531A,"JUMP/DIV INTO SWIMMING POOL STRK WALL CAUSING DROWN, INIT",1
W16.532A,"JUMP/DIV INTO SWIM POOL STRK WALL CAUSING OTH INJURY, INIT",85
W16.611A,"JUMP/DIV INTO NATRL BODY OF WTR STRK SURFC CAUSE DROWN, INIT",1
W16.612A,"JUMP/DIV IN NATRL BODY OF WTR STRK SURFC CAUSE OTH INJ, INIT",51
W16.612D,"JUMP/DIV IN NATRL BODY OF WTR STRK SURFC CAUSE OTH INJ, SUBS",1
W16.621A,"JUMP/DIV INTO NATRL BODY OF WTR STRK BOTM CAUSE DROWN, INIT",4
W16.622A,"JUMP/DIV IN NATRL BODY OF WTR STRK BOTM CAUSE OTH INJ, INIT",48
W16.711A,"JUMP/DIV FROM BOAT STRIKING SURFC CAUSING DROWN, INIT",2
W16.712A,"JUMP/DIV FROM BOAT STRIKING SURFC CAUSING OTH INJURY, INIT",12
W16.722A,"JUMP/DIV FROM BOAT STRIKING BOTTOM CAUSING OTH INJURY, INIT",12
W16.811A,"JUMP/DIV INTO OTH WATER STRIKING SURFC CAUSING DROWN, INIT",3
W16.812A,"JUMP/DIV INTO OTH WATER STRK SURFC CAUSING OTH INJURY, INIT",10
W16.822A,"JUMP/DIV INTO OTH WATER STRK BOTTOM CAUSING OTH INJURY, INIT",23
W16.832A,"JUMP/DIV INTO OTH WATER STRK WALL CAUSING OTH INJURY, INIT",3
W16.92XA,"JUMPING OR DIVING INTO UNSP WATER CAUSING OTH INJURY, INIT",112
W16.92XD,"JUMPING OR DIVING INTO UNSP WATER CAUSING OTH INJURY, SUBS",2
W17.0XXA,"FALL INTO WELL, INITIAL ENCOUNTER",3
W17.1XXA,"FALL INTO STORM DRAIN OR MANHOLE, INITIAL ENCOUNTER",95
W17.1XXD,"FALL INTO STORM DRAIN OR MANHOLE, SUBSEQUENT ENCOUNTER",3
W17.2XXA,"FALL INTO HOLE, INITIAL ENCOUNTER",1549
W17.2XXD,"FALL INTO HOLE, SUBSEQUENT ENCOUNTER",21
W17.2XXS,"FALL INTO HOLE, SEQUELA",1
W17.3XXA,"FALL INTO EMPTY SWIMMING POOL, INITIAL ENCOUNTER",24
W17.4XXA,"FALL FROM DOCK, INITIAL ENCOUNTER",56
W17.4XXD,"FALL FROM DOCK, SUBSEQUENT ENCOUNTER",1
W17.81XA,"FALL DOWN EMBANKMENT (HILL), INITIAL ENCOUNTER",1000
W17.81XD,"FALL DOWN EMBANKMENT (HILL), SUBSEQUENT ENCOUNTER",15
W17.82XA,"FALL FROM (OUT OF) GROCERY CART, INITIAL ENCOUNTER",729
W17.82XD,"FALL FROM (OUT OF) GROCERY CART, SUBSEQUENT ENCOUNTER",4
W17.89XA,"OTHER FALL FROM ONE LEVEL TO ANOTHER, INITIAL ENCOUNTER",27937
W17.89XD,"OTHER FALL FROM ONE LEVEL TO ANOTHER, SUBSEQUENT ENCOUNTER",342
W17.89XS,"OTHER FALL FROM ONE LEVEL TO ANOTHER, SEQUELA",22
W18.00XA,"STRIKING AGAINST UNSP OBJECT W SUBSEQUENT FALL, INIT ENCNTR",1724
W18.00XD,"STRIKING AGAINST UNSP OBJECT W SUBSEQUENT FALL, SUBS ENCNTR",17
W18.01XA,"STRIKING AGAINST SPORTS EQUIPMENT W SUBSEQUENT FALL, INIT",319
W18.02XA,"STRIKING AGAINST GLASS WITH SUBSEQUENT FALL, INIT ENCNTR",329
W18.02XD,"STRIKING AGAINST GLASS WITH SUBSEQUENT FALL, SUBS ENCNTR",11
W18.09XA,"STRIKING AGAINST OTH OBJECT W SUBSEQUENT FALL, INIT ENCNTR",13118
W18.09XD,"STRIKING AGAINST OTH OBJECT W SUBSEQUENT FALL, SUBS ENCNTR",91
W18.09XS,"STRIKING AGAINST OTHER OBJECT WITH SUBSEQUENT FALL, SEQUELA",4
W18.11XA,"FALL FROM OR OFF TOILET W/O STRIKE AGAINST OBJECT, INIT",2525
W18.11XD,"FALL FROM OR OFF TOILET W/O STRIKE AGAINST OBJECT, SUBS",14
W18.12XA,"FALL FROM OR OFF TOILET W STRIKE AGAINST OBJECT, INIT",1093
W18.12XD,"FALL FROM OR OFF TOILET W STRIKE AGAINST OBJECT, SUBS",1
W18.2XXA,"FALL IN (INTO) SHOWER OR EMPTY BATHTUB, INITIAL ENCOUNTER",13219
W18.2XXD,"FALL IN (INTO) SHOWER OR EMPTY BATHTUB, SUBSEQUENT ENCOUNTER",129
W18.2XXS,"FALL IN (INTO) SHOWER OR EMPTY BATHTUB, SEQUELA",9
W18.30XA,"FALL ON SAME LEVEL, UNSPECIFIED, INITIAL ENCOUNTER",93460
W18.30XD,"FALL ON SAME LEVEL, UNSPECIFIED, SUBSEQUENT ENCOUNTER",1187
W18.30XS,"FALL ON SAME LEVEL, UNSPECIFIED, SEQUELA",44
W18.31XA,"FALL ON SAME LEVEL DUE TO STEPPING ON AN OBJECT, INIT ENCNTR",948
W18.31XD,"FALL ON SAME LEVEL DUE TO STEPPING ON AN OBJECT, SUBS ENCNTR",17
W18.31XS,"FALL ON SAME LEVEL DUE TO STEPPING ON AN OBJECT, SEQUELA",1
W18.39XA,"OTHER FALL ON SAME LEVEL, INITIAL ENCOUNTER",50208
W18.39XD,"OTHER FALL ON SAME LEVEL, SUBSEQUENT ENCOUNTER",491
W18.39XS,"OTHER FALL ON SAME LEVEL, SEQUELA",27
W18.40XA,"SLIPPING, TRIPPING AND STUMBLING W/O FALLING, UNSP, INIT",4658
W18.40XD,"SLIPPING, TRIPPING AND STUMBLING W/O FALLING, UNSP, SUBS",46
W18.40XS,"SLIPPING, TRIPPING AND STUMBLING W/O FALLING, UNSP, SEQUELA",1
W18.41XA,"SLIP/TRIP W/O FALLING DUE TO STEPPING ON OBJECT, INIT",369
W18.41XD,"SLIP/TRIP W/O FALLING DUE TO STEPPING ON OBJECT, SUBS",1
W18.42XA,"SLIP/TRIP W/O FALLING DUE TO STEP INTO HOLE OR OPENING, INIT",1015
W18.42XD,"SLIP/TRIP W/O FALLING DUE TO STEP INTO HOLE OR OPENING, SUBS",6
W18.42XS,"SLIP/TRIP W/O FALL DUE TO STEP INTO HOLE OR OPENING, SEQUELA",7
W18.43XA,"SLIP/TRIP W/O FALL D/T STEP FROM ONE LEVEL TO ANOTHER, INIT",468
W18.43XD,"SLIP/TRIP W/O FALL D/T STEP FROM ONE LEVEL TO ANOTHER, SUBS",3
W18.49XA,"OTH SLIPPING, TRIPPING AND STUMBLING W/O FALLING, INIT",2419
W18.49XD,"OTH SLIPPING, TRIPPING AND STUMBLING W/O FALLING, SUBS",16
W18.49XS,"OTHER SLIPPING, TRIPPING AND STUMBLING W/O FALLING, SEQUELA",2
W19.XXXA,"UNSPECIFIED FALL, INITIAL ENCOUNTER",179821
W19.XXXD,"UNSPECIFIED FALL, SUBSEQUENT ENCOUNTER",6123
W19.XXXS,"UNSPECIFIED FALL, SEQUELA",311
W20.0XXA,"STRUCK BY FALLING OBJECT IN CAVE-IN, INITIAL ENCOUNTER",31
W20.1XXA,"STRUCK BY OBJECT DUE TO COLLAPSE OF BUILDING, INIT ENCNTR",130
W20.1XXD,"STRUCK BY OBJECT DUE TO COLLAPSE OF BUILDING, SUBS ENCNTR",2
W20.1XXS,"STRUCK BY OBJECT DUE TO COLLAPSE OF BUILDING, SEQUELA",1
W20.8XXA,"OTH CAUSE OF STRIKE BY THROWN, PROJECTED OR FALL OBJ, INIT",41071
W20.8XXD,"OTH CAUSE OF STRIKE BY THROWN, PROJECTED OR FALL OBJ, SUBS",572
W20.8XXS,"OTH CAUSE OF STRIKE BY THROWN, PROJECTED OR FALL OBJ, SQLA",31
W21.00XA,"STRUCK BY HIT OR THROWN BALL, UNSPECIFIED TYPE, INIT ENCNTR",1332
W21.00XD,"STRUCK BY HIT OR THROWN BALL, UNSPECIFIED TYPE, SUBS ENCNTR",10
W21.01XA,"STRUCK BY FOOTBALL, INITIAL ENCOUNTER",2958
W21.01XD,"STRUCK BY FOOTBALL, SUBSEQUENT ENCOUNTER",14
W21.01XS,"STRUCK BY FOOTBALL, SEQUELA",2
W21.02XA,"STRUCK BY SOCCER BALL, INITIAL ENCOUNTER",6476
W21.02XD,"STRUCK BY SOCCER BALL, SUBSEQUENT ENCOUNTER",45
W21.02XS,"STRUCK BY SOCCER BALL, SEQUELA",7
W21.03XA,"STRUCK BY BASEBALL, INITIAL ENCOUNTER",4367
W21.03XD,"STRUCK BY BASEBALL, SUBSEQUENT ENCOUNTER",40
W21.03XS,"STRUCK BY BASEBALL, SEQUELA",3
W21.04XA,"STRUCK BY GOLF BALL, INITIAL ENCOUNTER",372
W21.04XD,"STRUCK BY GOLF BALL, SUBSEQUENT ENCOUNTER",1
W21.05XA,"STRUCK BY BASKETBALL, INITIAL ENCOUNTER",4056
W21.05XD,"STRUCK BY BASKETBALL, SUBSEQUENT ENCOUNTER",21
W21.05XS,"STRUCK BY BASKETBALL, SEQUELA",3
W21.06XA,"STRUCK BY VOLLEYBALL, INITIAL ENCOUNTER",1407
W21.06XD,"STRUCK BY VOLLEYBALL, SUBSEQUENT ENCOUNTER",6
W21.07XA,"STRUCK BY SOFTBALL, INITIAL ENCOUNTER",2556
W21.07XD,"STRUCK BY SOFTBALL, SUBSEQUENT ENCOUNTER",28
W21.07XS,"STRUCK BY SOFTBALL, SEQUELA",1
W21.09XA,"STRUCK BY OTHER HIT OR THROWN BALL, INITIAL ENCOUNTER",1705
W21.09XD,"STRUCK BY OTHER HIT OR THROWN BALL, SUBSEQUENT ENCOUNTER",8
W21.09XS,"STRUCK BY OTHER HIT OR THROWN BALL, SEQUELA",3
W21.11XA,"STRUCK BY BASEBALL BAT, INITIAL ENCOUNTER",1079
W21.11XD,"STRUCK BY BASEBALL BAT, SUBSEQUENT ENCOUNTER",12
W21.11XS,"STRUCK BY BASEBALL BAT, SEQUELA",3
W21.12XA,"STRUCK BY TENNIS RACQUET, INITIAL ENCOUNTER",95
W21.12XD,"STRUCK BY TENNIS RACQUET, SUBSEQUENT ENCOUNTER",1
W21.13XA,"STRUCK BY GOLF CLUB, INITIAL ENCOUNTER",231
W21.13XD,"STRUCK BY GOLF CLUB, SUBSEQUENT ENCOUNTER",1
W21.19XA,"STRUCK BY OTHER BAT, RACQUET OR CLUB, INITIAL ENCOUNTER",295
W21.19XD,"STRUCK BY OTHER BAT, RACQUET OR CLUB, SUBSEQUENT ENCOUNTER",3
W21.210A,"STRUCK BY ICE HOCKEY STICK, INITIAL ENCOUNTER",176
W21.210D,"STRUCK BY ICE HOCKEY STICK, SUBSEQUENT ENCOUNTER",2
W21.211A,"STRUCK BY FIELD HOCKEY STICK, INITIAL ENCOUNTER",50
W21.211S,"STRUCK BY FIELD HOCKEY STICK, SEQUELA",1
W21.220A,"STRUCK BY ICE HOCKEY PUCK, INITIAL ENCOUNTER",145
W21.220D,"STRUCK BY ICE HOCKEY PUCK, SUBSEQUENT ENCOUNTER",1
W21.221A,"STRUCK BY FIELD HOCKEY PUCK, INITIAL ENCOUNTER",31
W21.221D,"STRUCK BY FIELD HOCKEY PUCK, SUBSEQUENT ENCOUNTER",1
W21.31XA,"STRUCK BY SHOE CLEATS, INITIAL ENCOUNTER",423
W21.31XD,"STRUCK BY SHOE CLEATS, SUBSEQUENT ENCOUNTER",5
W21.32XA,"STRUCK BY SKATE BLADES, INITIAL ENCOUNTER",35
W21.39XA,"STRUCK BY OTHER SPORTS FOOT WEAR, INITIAL ENCOUNTER",15
W21.4XXA,"STRIKING AGAINST DIVING BOARD, INITIAL ENCOUNTER",64
W21.81XA,"STRIKING AGAINST OR STRUCK BY FOOTBALL HELMET, INIT ENCNTR",899
W21.81XD,"STRIKING AGAINST OR STRUCK BY FOOTBALL HELMET, SUBS ENCNTR",4
W21.89XA,"STRIKING AGAINST OR STRUCK BY OTH SPORTS EQUIPMENT, INIT",2268
W21.89XD,"STRIKING AGAINST OR STRUCK BY OTH SPORTS EQUIPMENT, SUBS",17
W21.89XS,"STRIKING AGAINST OR STRUCK BY OTH SPORTS EQUIPMENT, SEQUELA",1
W21.9XXA,"STRIKING AGAINST OR STRUCK BY UNSP SPORTS EQUIPMENT, INIT",303
W21.9XXD,"STRIKING AGAINST OR STRUCK BY UNSP SPORTS EQUIPMENT, SUBS",2
W22.01XA,"WALKED INTO WALL, INITIAL ENCOUNTER",9655
W22.01XD,"WALKED INTO WALL, SUBSEQUENT ENCOUNTER",130
W22.01XS,"WALKED INTO WALL, SEQUELA",10
W22.02XA,"WALKED INTO LAMPPOST, INITIAL ENCOUNTER",176
W22.02XD,"WALKED INTO LAMPPOST, SUBSEQUENT ENCOUNTER",2
W22.03XA,"WALKED INTO FURNITURE, INITIAL ENCOUNTER",14788
W22.03XD,"WALKED INTO FURNITURE, SUBSEQUENT ENCOUNTER",160
W22.03XS,"WALKED INTO FURNITURE, SEQUELA",4
W22.041A,"STRIKING AGAINST WALL OF SWIMMING POOL CAUSING DROWN, INIT",2
W22.042A,"STRIKE WALL OF SWIMMING POOL CAUSING OTH INJURY, INIT",388
W22.042D,"STRIKE WALL OF SWIMMING POOL CAUSING OTH INJURY, SUBS",4
W22.09XA,"STRIKING AGAINST OTHER STATIONARY OBJECT, INITIAL ENCOUNTER",36578
W22.09XD,"STRIKING AGAINST OTHER STATIONARY OBJECT, SUBS ENCNTR",486
W22.09XS,"STRIKING AGAINST OTHER STATIONARY OBJECT, SEQUELA",20
W22.10XA,"STRIKING AGAINST OR STRUCK BY UNSP AUTOMOBILE AIRBAG, INIT",2509
W22.10XD,"STRIKING AGAINST OR STRUCK BY UNSP AUTOMOBILE AIRBAG, SUBS",8
W22.10XS,"STRIKE/STRUCK BY UNSP AUTOMOBILE AIRBAG, SEQUELA",2
W22.11XA,"STRIKE/STRUCK BY DRIVER SIDE AUTOMOBILE AIRBAG, INIT",2814
W22.11XD,"STRIKE/STRUCK BY DRIVER SIDE AUTOMOBILE AIRBAG, SUBS",21
W22.11XS,"STRIKE/STRUCK BY DRIVER SIDE AUTOMOBILE AIRBAG, SEQUELA",2
W22.12XA,"STRIKE/STRUCK BY FRONT PASSENGER SIDE AUTO AIRBAG, INIT",664
W22.12XD,"STRIKE/STRUCK BY FRONT PASSENGER SIDE AUTO AIRBAG, SUBS",5
W22.19XA,"STRIKING AGAINST OR STRUCK BY OTH AUTOMOBILE AIRBAG, INIT",660
W22.19XD,"STRIKING AGAINST OR STRUCK BY OTH AUTOMOBILE AIRBAG, SUBS",1
W22.19XS,"STRIKING AGAINST OR STRUCK BY OTH AUTOMOBILE AIRBAG, SEQUELA",1
W22.8XXA,"STRIKING AGAINST OR STRUCK BY OTHER OBJECTS, INIT ENCNTR",114313
W22.8XXD,"STRIKING AGAINST OR STRUCK BY OTHER OBJECTS, SUBS ENCNTR",1556
W22.8XXS,"STRIKING AGAINST OR STRUCK BY OTHER OBJECTS, SEQUELA",84
W23.0XXA,"CAUGHT, CRUSH, JAMMED, OR PINCHED BETW MOVING OBJECTS, INIT",29478
W23.0XXD,"CAUGHT, CRUSH, JAMMED, OR PINCHED BETW MOVING OBJECTS, SUBS",469
W23.0XXS,"CAUGHT, CRUSH, JAMMED, OR PINCHED BETW MOVING OBJ, SEQUELA",23
W23.1XXA,"CAUGHT, CRUSH, JAMMED, OR PINCHED BETW STATIONRY OBJ, INIT",5841
W23.1XXD,"CAUGHT, CRUSH, JAMMED, OR PINCHED BETW STATIONRY OBJ, SUBS",71
W23.1XXS,"CAUGHT, CRUSH, JAMMED, OR PINCHED BETW STATIONRY OBJ, SQLA",4
W23.2XXA,"CAUGHT,CRUSH,JAM OR PINCH BETW A MOVING & STATNRY OBJ,INIT",3872
W23.2XXD,"CAUGHT,CRUSH,JAM OR PINCH BETW A MOVING & STATNRY OBJ,SUBS",56
W23.2XXS,"CAUGHT,CRUSH,JAM OR PINCH BETW A MOVING & STATNRY OBJ,SQLA",1
W24.0XXA,"CONTACT W LIFTING DEVICES, NOT ELSEWHERE CLASSIFIED, INIT",457
W24.0XXD,"CONTACT W LIFTING DEVICES, NOT ELSEWHERE CLASSIFIED, SUBS",11
W24.0XXS,"CONTACT W LIFTING DEVICES, NOT ELSEWHERE CLASSIFIED, SEQUELA",2
W24.1XXA,"CONTACT W TRANSMISSION DEVICES, NEC, INIT",60
W24.1XXD,"CONTACT W TRANSMISSION DEVICES, NEC, SUBS",1
W25.XXXA,"CONTACT WITH SHARP GLASS, INITIAL ENCOUNTER",24504
W25.XXXD,"CONTACT WITH SHARP GLASS, SUBSEQUENT ENCOUNTER",989
W25.XXXS,"CONTACT WITH SHARP GLASS, SEQUELA",21
W26.0XXA,"CONTACT WITH KNIFE, INITIAL ENCOUNTER",37834
W26.0XXD,"CONTACT WITH KNIFE, SUBSEQUENT ENCOUNTER",1060
W26.0XXS,"CONTACT WITH KNIFE, SEQUELA",24
W26.1XXA,"CONTACT WITH SWORD OR DAGGER, INITIAL ENCOUNTER",123
W26.1XXD,"CONTACT WITH SWORD OR DAGGER, SUBSEQUENT ENCOUNTER",6
W26.1XXS,"CONTACT WITH SWORD OR DAGGER, SEQUELA",2
W26.2XXA,"CONTACT WITH EDGE OF STIFF PAPER, INITIAL ENCOUNTER",79
W26.8XXA,"CONTACT WITH OTHER SHARP OBJECT(S), NOT ELSEWHERE CLASSIFIED, INITIAL ENCOUNTER",37205
W26.8XXD,"CONTACT WITH OTHER SHARP OBJECT(S), NOT ELSEWHERE CLASSIFIED, SUBSEQUENT ENCOUNTER",1378
W26.8XXS,"CONTACT WITH OTHER SHARP OBJECT(S), NOT ELSEWHERE CLASSIFIED, SEQUELA",26
W26.9XXA,"CONTACT WITH UNSPECIFIED SHARP OBJECT(S), INITIAL ENCOUNTER",6023
W26.9XXD,"CONTACT WITH UNSPECIFIED SHARP OBJECT(S), SUBSEQUENT ENCOUNTER",360
W26.9XXS,"CONTACT WITH UNSPECIFIED SHARP OBJECT(S), SEQUELA",11
W27.0XXA,"CONTACT WITH WORKBENCH TOOL, INITIAL ENCOUNTER",4039
W27.0XXD,"CONTACT WITH WORKBENCH TOOL, SUBSEQUENT ENCOUNTER",176
W27.0XXS,"CONTACT WITH WORKBENCH TOOL, SEQUELA",2
W27.1XXA,"CONTACT WITH GARDEN TOOL, INITIAL ENCOUNTER",620
W27.1XXD,"CONTACT WITH GARDEN TOOL, SUBSEQUENT ENCOUNTER",11
W27.2XXA,"CONTACT WITH SCISSORS, INITIAL ENCOUNTER",1642
W27.2XXD,"CONTACT WITH SCISSORS, SUBSEQUENT ENCOUNTER",32
W27.2XXS,"CONTACT WITH SCISSORS, SEQUELA",2
W27.3XXA,"CONTACT WITH NEEDLE (SEWING), INITIAL ENCOUNTER",380
W27.3XXD,"CONTACT WITH NEEDLE (SEWING), SUBSEQUENT ENCOUNTER",6
W27.4XXA,"CONTACT WITH KITCHEN UTENSIL, INITIAL ENCOUNTER",1922
W27.4XXD,"CONTACT WITH KITCHEN UTENSIL, SUBSEQUENT ENCOUNTER",41
W27.5XXA,"CONTACT WITH PAPER-CUTTER, INITIAL ENCOUNTER",294
W27.5XXD,"CONTACT WITH PAPER-CUTTER, SUBSEQUENT ENCOUNTER",13
W27.8XXA,"CONTACT WITH OTHER NONPOWERED HAND TOOL, INITIAL ENCOUNTER",3647
W27.8XXD,"CONTACT WITH OTHER NONPOWERED HAND TOOL, SUBS ENCNTR",104
W27.8XXS,"CONTACT WITH OTHER NONPOWERED HAND TOOL, SEQUELA",4
W28.XXXA,"CONTACT WITH POWERED LAWN MOWER, INITIAL ENCOUNTER",311
W28.XXXD,"CONTACT WITH POWERED LAWN MOWER, SUBSEQUENT ENCOUNTER",18
W29.0XXA,"CONTACT WITH POWERED KITCHEN APPLIANCE, INITIAL ENCOUNTER",949
W29.0XXD,"CONTACT WITH POWERED KITCHEN APPLIANCE, SUBSEQUENT ENCOUNTER",36
W29.0XXS,"CONTACT WITH POWERED KITCHEN APPLIANCE, SEQUELA",1
W29.1XXA,"CONTACT WITH ELECTRIC KNIFE, INITIAL ENCOUNTER",72
W29.2XXA,"CONTACT WITH OTHER POWERED HOUSEHOLD MACHINERY, INIT ENCNTR",278
W29.2XXD,"CONTACT WITH OTHER POWERED HOUSEHOLD MACHINERY, SUBS ENCNTR",7
W29.2XXS,"CONTACT WITH OTHER POWERED HOUSEHOLD MACHINERY, SEQUELA",2
W29.3XXA,"CNTCT W POWERED GARDEN AND OUTDOOR HAND TOOLS AND MACH, INIT",2895
W29.3XXD,"CNTCT W POWERED GARDEN AND OUTDOOR HAND TOOLS AND MACH, SUBS",141
W29.3XXS,"CNTCT W POWER GARDEN AND OUTDOOR HAND TOOLS AND MACH, SQLA",6
W29.4XXA,"CONTACT WITH NAIL GUN, INITIAL ENCOUNTER",766
W29.4XXD,"CONTACT WITH NAIL GUN, SUBSEQUENT ENCOUNTER",10
W29.8XXA,"CNTCT WITH OTHER POWERED HAND TOOLS AND HOUSEHOLD MACH, INIT",3021
W29.8XXD,"CNTCT WITH OTHER POWERED HAND TOOLS AND HOUSEHOLD MACH, SUBS",96
W30.0XXA,"CONTACT WITH COMBINE HARVESTER, INITIAL ENCOUNTER",5
W30.2XXA,"CONTACT WITH HAY DERRICK, INITIAL ENCOUNTER",1
W30.3XXA,"CONTACT WITH GRAIN STORAGE ELEVATOR, INITIAL ENCOUNTER",1
